,,,,,,,,,,,,,
,,,,,Populationa,,,,Adult,Net primary school,,Gross national,Population living 
60,,Fiji,WPR,,  848,0.9,  53,2.9,92.9,99.6,100, 2 360,…
61,,Finland,EUR,, 5 249,0.2,  61,1.7,...,99.9,100, 27 020,…
62,,France,EUR,, 60 496,0.3,  77,1.9,...,99.6,99.7, 24 770,…
63,,Gabon,AFR,, 1 384,2.0,  85,4.0,...,…,…, 3 580,…
64,,Gambia,AFR,, 1 517,2.9,  26,4.7,...,76.0,69.7,  310,59.3
65,,Georgia,EUR,, 4 474,-1.1,  52,1.5,...,90.9,90.5,  830,2.7
66,,Germany,EUR,, 82 689,0.1,  89,1.3,...,...,..., 25 250,…
67,,Ghana,AFR,, 22 113,2.0,  46,4.4,54.1,61.4,59.0,  320,44.8
68,,Greece,EUR,, 11 120,0.4,  61,1.3,...,96.9,96.7, 13 720,…
69,,Grenada,AMR,,  103,0.3,  42,...,...,…,…, 3 790,…
70,,Guatemala,AMR,, 12 599,2.1,  47,4.6,69.9,86.9,82.9, 1 910,16.0
71,,Guinea,AFR,, 9 402,2.0,  37,5.9,...,69.1,53.7,  430,…
72,,Guinea-Bissau,AFR,, 1 586,2.6,  36,7.1,...,...,...,  140,…
73,,Guyana,AMR,,  751,0.2,  39,2.3,...,...,...,  900,<2
74,,Haiti,AMR,, 8 528,1.3,  39,4.0,51.9,...,...,  380,…
75,,Honduras,AMR,, 7 205,2.3,  46,3.7,80.0,86.7,88.3,  970,23.8
76,,Hungary,EUR,, 10 098,-0.2,  66,1.3,99.3,91.4,90.1, 6 330,<2
77,,Iceland,EUR,,  295,0.9,  93,2.0,...,99.8,99.6, 30 810,…
78,,India,SEAR,,1 103 371,1.5,  29,3.1,61.3,89.4,75.7,  530,34.7
79,,Indonesia,SEAR,, 222 781,1.2,  48,2.4,87.9,92.6,91.7,  810,7.5
80,,Iran (Islamic Republic of),EMR,, 69 515,1.0,  68,2.1,...,…,…, 2 000,<2
81,,Iraq,EMR,, 28 807,2.6,  67,4.8,...,...,...,...,…
82,,Ireland,EUR,, 4 148,1.2,  60,1.9,...,94.7,96.3, 26 960,…
83,,Israel,EUR,, 6 725,2.1,  92,2.9,95.3,99.8,100,...,…
84,,Italy,EUR,, 58 093,0.1,  68,1.3,...,99.4,99.0, 21 560,…
85,,Jamaica,AMR,, 2 651,0.6,  52,2.4,87.6,95.1,95.3, 2 760,<2
86,,Japan,WPR,, 128 085,0.2,  66,1.3,...,100,100, 34 510,…
87,,Jordan,EMR,, 5 703,2.6,  79,3.5,90.9,90.9,91.7, 1 850,<2
88,,Kazakhstan,EUR,, 14 825,-0.7,  56,2.0,99.5,90.0,89.0, 1 780,<2
89,,Kenya,AFR,, 34 256,2.1,  42,5.0,84.3,69.4,70.5,  390,23.0
90,,Kiribati,WPR,,  99,1.9,  50,...,...,...,...,  880,…
91,,Kuwait,EMR,, 2 687,4.4,  96,2.4,82.9,85.0,84.3,...,…
92,,Kyrgyzstan,EUR,, 5 264,1.3,  34,2.7,...,91.7,88.4,  330,<2
93,,Lao People's Democratic Republic,WPR,, 5 924,2.1,  22,4.8,68.7,86.1,79.4,  320,26.3
94,,Latvia,EUR,, 2 307,-0.7,  66,1.3,99.7,87.3,87.9, 4 070,<2
95,,Lebanon,EMR,, 3 577,1.1,  88,2.3,...,90.1,89.4, 4 040,…
96,,Lesotho,AFR,, 1 795,0.6,  18,3.6,81.4,81.2,87.6,  590,36.4
97,,Liberia,AFR,, 3 283,4.2,  48,6.8,55.9,...,...,  130,…
98,,Libyan Arab Jamahiriya,EMR,, 5 853,1.8,  87,3.0,81.7,...,...,...,…
99,,Lithuania,EUR,, 3 431,-0.5,  67,1.3,99.6,94.7,93.9, 4 490,<2
100,,Luxembourg,EUR,,  465,1.3,  92,1.7,...,96.2,96.2, 43 940,…
101,,Madagascar,AFR,, 18 606,2.6,  27,5.4,70.6,68.2,68.9,  290,49.1
102,,Malawi,AFR,, 12 884,2.2,  17,6.1,64.1,81.0,81.0,  170,41.7
103,,Malaysia,WPR,, 25 347,2.0,  65,2.9,88.7,95.1,95.3, 3 780,<2
104,,Maldives,SEAR,,  329,2.5,  30,4.3,97.2,96.0,96.5, 2 300,…
105,,Mali,AFR,, 13 518,2.6,  34,6.9,19.0,...,...,  290,72.8
106,,Malta,EUR,,  402,0.6,  92,1.5,92.6,96.6,96.7,...,…
107,,Marshall Islands,WPR,,  62,1.6,  67,...,...,...,..., 2 710,…
108,,Mauritania,AFR,, 3 069,2.6,  64,5.8,41.2,68.2,65.2,  430,25.9
109,,Mauritius,AFR,, 1 245,0.9,  44,2.0,84.3,93.2,93.2, 4 090,…
110,,Mexico,AMR,, 107 029,1.3,  76,2.4,90.5,98.8,100, 6 230,9.9
111,,Micronesia (Federated States of ) ,WPR,,  110,0.2,  30,4.4,...,...,..., 2 090,…
112,,Monaco,EUR,,  35,1.0,  100,...,...,...,...,...,…
113,,Mongolia,WPR,, 2 646,0.9,  57,2.4,97.8,85.4,87.9,  480,13.9
114,,Morocco,EMR,, 31 478,1.4,  59,2.8,50.7,91.5,85.1, 1 320,<2
115,,Mozambique,AFR,, 19 792,2.1,  38,5.5,46.5,63.4,55.9,  210,37.9
116,,Myanmar,SEAR,, 50 519,1.2,  31,2.5,89.7,81.8,82.0,...,…
117,,Namibia,AFR,, 2 031,2.0,  34,4.0,83.3,75.8,80.7, 1 870,34.9
118,,Nauru,WPR,,  14,2.2,  100,...,...,...,...,...,…
119,,Nepal,SEAR,, 27 133,2.1,  16,3.7,48.6,…,…,  240,37.7
120,,Netherlands,EUR,, 16 299,0.5,  67,1.7,...,100,98.8, 26 310,…
121,,New Zealand,WPR,, 4 028,0.9,  86,2.0,...,98.8,98.0, 15 870,…
122,,Nicaragua,AMR,, 5 487,1.8,  58,3.3,76.7,81.6,82.2,  730,45.1
123,,Niger,AFR,, 13 957,3.1,  23,7.9,19.9,40.7,27.5,  200,61.4
124,,Nigeria,AFR,, 131 530,2.2,  48,5.8,66.8,...,...,  320,70.2
125,,Niue,WPR,,  1,-2.0,  37,...,...,...,...,...,…
126,,Norway,EUR,, 4 620,0.5,  81,1.8,...,99.8,100, 43 350,…
127,,Oman,EMR,, 2 567,1.5,  79,3.8,74.4,74.1,74.9,...,…
128,,Pakistan,EMR,, 157 935,2.1,  35,4.3,41.5,…,…,  470,13.4
129,,Palau,WPR,,  20,1.3,  68,...,...,…,…, 7 500,…
130,,Panama,AMR,, 3 232,1.7,  58,2.7,91.9,99.2,98.8, 4 250,7.2
131,,Papua New Guinea,WPR,, 5 887,2.1,  13,4.1,...,76.8,68.9,  510,…
132,,Paraguay,AMR,, 6 158,2.2,  59,3.9,91.6,91.3,91.8, 1 100,14.9
133,,Peru,AMR,, 27 968,1.5,  75,2.9,85.0,99.8,100, 2 150,18.1
134,,Philippines,WPR,, 83 054,1.8,  63,3.2,92.6,91.9,94.1, 1 080,14.6
135,,Poland,EUR,, 38 530,0.0,  62,1.3,...,97.9,98.1, 5 270,<2
136,,Portugal,EUR,, 10 495,0.4,  56,1.5,...,99.6,100, 12 130,<2
137,,Qatar,EMR,,  813,4.0,  92,3.0,84.2,95.3,93.6,...,…
138,,Republic of Korea,WPR,, 47 817,0.6,  81,1.2,...,100,99.7, 12 020,<2
139,,Republic of Moldova ,EUR,, 4 206,-0.3,  46,1.2,96.2,78.7,77.8,  590,22.0
140,,Romania,EUR,, 21 711,-0.4,  55,1.3,97.3,88.8,88.0, 2 310,2.1
141,,Russian Federation,EUR,, 143 202,-0.3,  73,1.3,99.6,...,..., 2 610,6.1
142,,Rwanda,AFR,, 9 038,5.0,  22,5.7,64.0,82.8,85.1,  220,…
143,,Saint Kitts and Nevis,AMR,,  43,0.5,  32,...,...,…,…, 6 880,…
144,,Saint Lucia,AMR,,  161,0.8,  31,2.2,...,100,98.3, 4 050,…
145,,Saint Vincent and the Grenadines,AMR,,  119,0.5,  61,2.3,...,92.3,91.6, 3 300,…
146,,Samoa,WPR,,  185,0.9,  23,4.4,98.7,95.6,94.2, 1 600,…
147,,San Marino,EUR,,  28,0.8,  89,...,...,...,...,...,…
148,,Sao Tome and Principe,AFR,,  157,1.8,  38,4.1,...,100,94.2,  320,…
149,,Saudi Arabia,EMR,, 24 573,2.5,  89,4.1,77.9,61.1,56.5,...,…
150,,Senegal,AFR,, 11 658,2.2,  51,5.0,41.0,61.2,54.5,  550,26.3
151,,Serbia and Montenegro,EUR,, 10 503,0.0,  52,1.7,...,…,…, 1 910,…
152,,Seychelles,AFR,,  81,0.6,  50,...,91.9,...,..., 7 480,…
153,,Sierra Leone,AFR,, 5 525,2.6,  40,6.5,29.6,...,...,  150,57.0
154,,Singapore,WPR,, 4 326,2.1,  100,1.4,92.5,...,..., 21 230,…
155,,Slovakia,EUR,, 5 401,0.1,  58,1.2,99.7,86.2,87.8, 4 920,<2
156,,Slovenia,EUR,, 1 967,0.0,  51,1.2,99.7,93.4,92.8, 11 830,<2
157,,Solomon Islands,WPR,,  478,2.5,  17,4.3,...,...,...,  600,…
158,,Somalia,EMR,, 8 228,2.4,  36,6.4,...,...,...,...,…
159,,South Africa,AFR,, 47 432,1.2,  58,2.8,82.4,89.2,89.8, 2 780,7.1
160,,Spain,EUR,, 43 064,0.7,  77,1.3,...,100,99.4, 16 990,…
161,,Sri Lanka,SEAR,, 20 743,0.9,  21,2.0,92.1,...,...,  930,6.6
162,,Sudan,EMR,, 36 233,1.9,  41,4.4,59.0,...,...,  460,…
163,,Suriname,AMR,,  449,0.7,  77,2.6,...,96.7,98.1,...,…
164,,Swaziland,AFR,, 1 032,0.8,  24,4.0,79.2,76.3,77.0, 1 350,…
165,,Sweden,EUR,, 9 041,0.2,  83,1.6,...,100,99.6, 28 840,…
166,,Switzerland,EUR,, 7 252,0.3,  68,1.4,...,99.2,98.5, 39 880,…
167,,Syrian Arab Republic,EMR,, 19 043,2.3,  50,3.5,82.9,100,94.9, 1 160,…
168,,Tajikistan,EUR,, 6 507,1.1,  24,3.8,99.5,...,...,  190,10.3
169,,Thailand,SEAR,, 64 233,0.9,  33,1.9,92.6,87.5,85.1, 2 190,<2
170,,The former Yugoslav Republic of Macedonia,EUR,, 2 034,0.3,  60,1.5,...,92.0,92.6, 1 980,<2
171,,Timor-Leste,SEAR,,  947,0.5,  8,7.8,...,...,...,  430,…
172,,Togo,AFR,, 6 145,2.9,  36,5.4,53.0,100,83.6,  310,…
173,,Tonga,WPR,,  102,0.5,  34,3.5,98.8,100,99.4, 1 490,…
174,,Trinidad and Tobago,AMR,, 1 305,0.3,  76,1.6,98.5,86.3,87.3, 7 260,12.4
175,,Tunisia,EMR,, 10 102,1.1,  64,2.0,73.2,97.1,96.6, 2 240,<2
176,,Turkey,EUR,, 73 193,1.4,  67,2.5,86.5,91.0,84.8, 2 790,<2
177,,Turkmenistan,EUR,, 4 833,1.3,  46,2.8,98.8,...,..., 1 120,12.1
178,,Tuvalu,WPR,,  10,0.6,  57,...,...,...,...,...,…
179,,Uganda,AFR,, 28 816,2.9,  12,7.1,68.9,...,...,  240,…
180,,Ukraine,EUR,, 46 481,-0.9,  67,1.1,99.6,87.6,87.3,  970,2.9
181,,United Arab Emirates,EMR,, 4 496,5.8,  86,2.5,77.3,81.9,79.7,...,…
182,,United Kingdom,EUR,, 59 668,0.3,  89,1.7,...,100,99.9, 28 350,…
183,,United Republic of Tanzania,AFR,, 38 329,2.0,  38,5.0,77.1,54.3,54.5,  290,19.9
184,,United States of America,AMR,, 298 213,0.9,  81,2.0,...,92.2,93.3, 37 610,…
185,,Uruguay,AMR,, 3 463,0.7,  93,2.3,97.7,89.3,89.8, 3 790,<2
186,,Uzbekistan,EUR,, 26 593,1.4,  36,2.7,99.3,...,...,  420,21.8
187,,Vanuatu,WPR,,  211,1.9,  24,4.2,...,92.4,94.0, 1 180,…
188,,Venezuela,AMR,, 26 749,1.8,  88,2.7,93.0,92.0,92.7, 3 490,15.0
189,,Viet Nam,WPR,, 84 238,1.3,  27,2.3,90.3,…,…,  480,17.7
190,,Yemen,EMR,, 20 975,2.9,  26,6.2,49.0,...,...,  520,15.7
191,,Zambia,AFR,, 11 668,1.8,  37,5.7,...,66.4,65.6,  380,63.7
192,,Zimbabwe,AFR,, 13 010,0.9,  36,3.6,90.0,82.4,83.1,...,36.0
,,,,,,,,,,,,,
,,Region,,,,,,,,,,,
,,,,,,,,,,,,,
,,African Region,AFR,, 738 086,2.2,38,5.4,60.9,66.7,61.3,  560,39
,,Region of the Americas,AMR,, 886 333,1.2,79,2.4,89.0,94.0,94.9, 15 850,<10
,,South-East Asia Region,SEAR,,1 656 529,1.4,31,2.9,65.5,89.1,79.4,  630,29
,,European Region,EUR,, 882 731,0.2,70,1.6,96.9,94.7,93.2, 12 450,<5
,,Eastern Mediterranean Region,EMR,, 538 001,2.0,49,3.8,54.3,87.6,83.5, 1 070,8
,,Western Pacific Region,WPR,,1 743 954,0.8,45,1.8,90.7,94.3,94.9, 4 200,16
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,… Data not available or not applicable.,,,,,,,,,,,
,,aWorld Population Prospects: The 2004 Revision. Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat. (http://esa.un.org/unpp),,,,,,,,,,,
,,"bUnited Nations Educational, Scientific and Cultural Organization. (http://www.uis.unesco.org/TEMPLATE/html/Exceltables/education/Literacy_National_July04.xls)",,,,,,,,,,,
,,cDWI Data Query System. The World Bank Group. (http://devdata.worldbank.org/data-query),,,,,,,,,,,
,,cThe World Bank Group.  (http://www.worldbank.org/data/wdi2004/pdfs/table2-5.pdf),,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
